Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,669.927,495.226,0.40070700000000004,674.316,484.954,0.279934,706.6260000000001,574.497,0.21848800000000002,672.867,505.491,0.46212600000000004,716.8960000000001,590.622,0.6327520000000001
DarPaso,Caminar,Pausa,Neutral,0.0,658.186,496.694,0.363681,671.3889999999999,483.48900000000003,0.252591,708.086,577.428,0.214333,662.584,506.959,0.42239799999999994,712.482,587.7090000000001,0.61711
DarPaso,Caminar,Pausa,Neutral,0.0,649.355,501.095,0.389173,637.621,498.163,0.24170100000000003,699.273,580.362,0.237473,653.783,508.431,0.44596800000000003,709.54,589.173,0.6648569999999999
DarPaso,Caminar,Pausa,Neutral,0.0,640.558,506.974,0.389694,622.943,505.5,0.314648,699.2689999999999,587.721,0.137787,650.854,511.38300000000004,0.452942,705.153,592.09,0.6666
DarPaso,Caminar,Pausa,Neutral,0.0,633.216,515.7669999999999,0.364123,614.125,508.44,0.288393,702.2,587.7,0.055814199999999994,652.307,521.646,0.46243199999999995,703.693,593.568,0.6965819999999999
DarPaso,Caminar,Pausa,Neutral,0.0,627.352,512.841,0.437443,609.729,506.964,0.317846,699.275,586.248,0.160147,643.518,518.712,0.546014,697.819,593.552,0.728808
DarPaso,Caminar,Pausa,Neutral,0.0,630.295,520.185,0.444267,624.4119999999999,521.64,0.304309,693.4060000000001,593.57,0.21884,642.033,523.132,0.56124,694.8810000000001,593.558,0.7502939999999999
DarPaso,Caminar,Pausa,Neutral,0.0,628.807,523.115,0.5723729999999999,622.928,528.979,0.462128,686.072,596.5419999999999,0.538026,639.094,520.19,0.592856,693.395,593.57,0.7561329999999999
DarPaso,Caminar,Pausa,Neutral,0.0,624.39,520.165,0.520008,614.134,524.586,0.384772,677.283,595.052,0.496766,628.8240000000001,517.235,0.581314,687.539,592.138,0.7579239999999999
DarPaso,Caminar,Pausa,Neutral,0.0,614.151,515.789,0.521515,609.735,517.253,0.372188,674.34,592.13,0.521278,620.0,518.71,0.598146,678.7330000000001,592.099,0.711536
DarPaso,Caminar,Pausa,Neutral,0.0,603.839,509.917,0.524705,597.974,512.846,0.366334,665.5360000000001,587.705,0.47202200000000005,608.275,511.365,0.592902,671.3989999999999,584.7909999999999,0.726734
DarPaso,Caminar,Pausa,Neutral,0.0,593.595,504.035,0.5086390000000001,531.935,462.92699999999996,0.176645,527.513,499.625,0.29920599999999997,597.985,505.51,0.599835,661.122,583.298,0.721669
DarPaso,Caminar,Pausa,Neutral,0.0,580.365,498.151,0.470814,526.049,462.94,0.20160899999999998,512.846,499.63300000000004,0.402683,586.241,499.647,0.5737939999999999,649.362,578.927,0.7472949999999999
DarPaso,Caminar,Pausa,Neutral,0.0,565.69,486.425,0.411357,511.37,455.587,0.27508299999999997,504.036,501.11699999999996,0.527844,575.9680000000001,490.825,0.556391,639.067,577.444,0.764861
DarPaso,Caminar,Pausa,Neutral,0.0,530.4680000000001,464.39599999999996,0.448849,502.555,455.593,0.44715900000000003,499.657,504.014,0.610202,558.3530000000001,476.147,0.558639,624.393,570.102,0.7852060000000001
DarPaso,Caminar,Pausa,Neutral,0.0,517.237,457.06,0.5844550000000001,490.81199999999995,454.13800000000003,0.567182,495.217,502.56,0.678816,545.122,462.925,0.58528,611.2040000000001,565.692,0.778452
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,511.361,455.597,0.6189899999999999,486.39,455.594,0.5996819999999999,489.36,501.108,0.658101,534.882,457.046,0.6160869999999999,603.8290000000001,559.816,0.781463
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,504.043,451.173,0.62231,479.083,451.19699999999995,0.594198,484.934,499.645,0.7356600000000001,531.896,451.18800000000005,0.6081770000000001,595.066,552.488,0.809238
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,498.14300000000003,451.165,0.664304,470.28,454.10400000000004,0.641999,483.46,502.56,0.656181,521.668,445.31199999999995,0.62656,590.625,546.591,0.7814270000000001
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,487.9,443.86,0.648462,464.39,452.64599999999996,0.648714,479.08099999999996,504.027,0.684446,515.793,439.42800000000005,0.634694,581.851,539.253,0.768807
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,483.459,443.846,0.7140489999999999,457.045,454.10699999999997,0.7085739999999999,476.134,508.423,0.602538,509.894,436.49699999999996,0.679204,575.9780000000001,531.898,0.807373
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,474.67699999999996,439.421,0.7202770000000001,451.148,451.181,0.6741149999999999,470.292,506.954,0.727298,502.559,430.62800000000004,0.666346,570.0930000000001,527.528,0.7757310000000001
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,470.255,437.98800000000006,0.735561,442.38,451.189,0.681783,467.32,508.418,0.7266239999999999,498.181,427.7,0.683158,561.284,520.178,0.768087
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,464.42,437.94599999999997,0.736805,437.98800000000006,451.204,0.716413,464.403,508.434,0.6822189999999999,493.756,423.30699999999996,0.658203,553.9490000000001,512.852,0.7697189999999999
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,461.44,437.945,0.753428,435.022,451.20599999999996,0.7067859999999999,462.93300000000005,509.894,0.6899029999999999,487.871,421.835,0.688377,548.0980000000001,509.901,0.7838970000000001
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,454.142,435.045,0.744678,429.14599999999996,449.717,0.672678,457.07300000000004,508.436,0.768403,483.499,420.341,0.695298,537.788,504.035,0.765346
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,454.102,437.94,0.762789,426.23,451.202,0.692788,454.096,508.43,0.806527,483.473,421.824,0.698531,531.943,502.57099999999997,0.809933
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,451.171,436.48800000000006,0.735346,421.81699999999995,451.165,0.686909,452.63699999999994,509.87800000000004,0.793096,480.534,420.337,0.673488,531.8919999999999,504.038,0.785439
TomarObjeto,Acomodar,Trabajo,Neutral,0.0,448.25699999999995,435.01099999999997,0.7311850000000001,418.89599999999996,449.714,0.70203,449.69800000000004,506.967,0.801281,477.601,417.439,0.690338,524.609,502.583,0.78137
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,442.381,429.159,0.733316,415.94300000000004,445.315,0.694762,445.30699999999996,506.98,0.798387,474.652,413.032,0.693893,523.115,504.038,0.787756
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,440.89599999999996,429.142,0.74075,414.462,445.305,0.692334,445.30400000000003,509.879,0.816669,471.727,411.56300000000005,0.691296,521.64,506.96,0.77975
